"","p_val","log_fc","rate1","rate2","padj","cluster","feature","comp"
"ARX",0,-1.88874756589661,0.999,1,0,"ML","ARX","ML_vs_all"
"IRF5",0,1.07401116675723,0.999,1,0,"ML","IRF5","ML_vs_all"
"MSX2",0,-1.97518291714703,0.999,1,0,"ML","MSX2","ML_vs_all"
"SIN3A",0,-1.23103682075235,0.999,1,0,"ML","SIN3A","ML_vs_all"
"ZHX2",0,-2.47335901038341,0.999,1,0,"ML","ZHX2","ML_vs_all"
"ZNF202",0,-3.71420176090562,0.999,1,0,"ML","ZNF202","ML_vs_all"
"CTNNB1",0,0.987118857070282,1,1,0,"ML","CTNNB1","ML_vs_all"
"PAWR",0,-2.00137296083137,1,1,0,"ML","PAWR","ML_vs_all"
"RFX1",0,0.910413809661827,1,1,0,"ML","RFX1","ML_vs_all"
"RUNX2",0,1.18908704867391,1,1,0,"ML","RUNX2","ML_vs_all"
"SMAD9",0,1.26097877826714,1,1,0,"ML","SMAD9","ML_vs_all"
"SOX7",0,1.51190603996716,1,1,0,"ML","SOX7","ML_vs_all"
"SP1",0,1.06428857785838,1,1,0,"ML","SP1","ML_vs_all"
"TBR1",0,-1.70949629994658,1,1,0,"ML","TBR1","ML_vs_all"
"WT1",0,0.966097897391879,1,1,0,"ML","WT1","ML_vs_all"
"ZNF219",0,1.16507493389763,1,1,0,"ML","ZNF219","ML_vs_all"
"ZNF384",0,1.32250248150774,1,1,0,"ML","ZNF384","ML_vs_all"
"VEZF1",4.6476786341884e-289,-1.38061967486187,0.999,1,3.39745308159172e-286,"ML","VEZF1","ML_vs_all"
"SCX",7.27329312206033e-288,1.10644754948361,1,1,5.3167772722261e-285,"ML","SCX","ML_vs_all"
"ZIC2",4.11633648917363e-286,0.873371942917637,1,1,3.00904197358592e-283,"ML","ZIC2","ML_vs_all"
"SOX6",7.59919286822519e-273,1.30703035792842,1,1,5.55500998667262e-270,"ML","SOX6","ML_vs_all"
"NR2F6",2.35361066385845e-265,-1.21624617597736,0.999,1,1.72048939528053e-262,"ML","NR2F6","ML_vs_all"
"PAX7",3.59262062864546e-261,1.06531600487742,1,1,2.62620567953983e-258,"ML","PAX7","ML_vs_all"
"GATA6",8.99670334984573e-259,0.928531481904379,1,1,6.57659014873723e-256,"ML","GATA6","ML_vs_all"
"EBF1",2.40844496814584e-256,-1.56020956995192,1,1,1.76057327171461e-253,"ML","EBF1","ML_vs_all"
"KLF7",1.50896661998128e-255,1.02139840692632,1,1,1.10305459920632e-252,"ML","KLF7","ML_vs_all"
"TCF7L1",2.03059956631975e-255,-0.907002444602459,1,1,1.48436828297974e-252,"ML","TCF7L1","ML_vs_all"
"NHLH1",1.31856121367467e-254,1.23984312770946,1,1,9.63868247196187e-252,"ML","NHLH1","ML_vs_all"
"INSM1",4.47924231296565e-254,-2.48436954896526,0.999,1,3.27432613077789e-251,"ML","INSM1","ML_vs_all"
"CEBPG",3.28145231357584e-252,0.752117281016313,1,1,2.39874164122394e-249,"ML","CEBPG","ML_vs_all"
"VHL",2.71995125494929e-251,0.961967873674338,1,1,1.98828436736793e-248,"ML","VHL","ML_vs_all"
"RFXAP",8.60706325917408e-246,0.951938231671011,1,1,6.29176324245625e-243,"ML","RFXAP","ML_vs_all"
"NR3C1",1.72875973806662e-245,0.978331961898443,1,1,1.2637233685267e-242,"ML","NR3C1","ML_vs_all"
"HOXA5",4.69175073868086e-245,0.626421110021985,1,1,3.42966978997571e-242,"ML","HOXA5","ML_vs_all"
"SIX3",6.39432329949116e-245,-0.759919113243594,1,1,4.67425033192804e-242,"ML","SIX3","ML_vs_all"
"NOTCH1",2.940592841612e-243,0.689277388758537,1,1,2.14957336721837e-240,"ML","NOTCH1","ML_vs_all"
"NONO",1.25537424624339e-242,0.97204686232419,1,1,9.17678574003916e-240,"ML","NONO","ML_vs_all"
"MYT1",1.21048981031715e-240,-1.74537096642875,1,1,8.84868051341839e-238,"ML","MYT1","ML_vs_all"
