"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","feature_rank"
"1","KHDRBS2",9.77361824475413,1.30629176704797,801.172111723839,7.74459751568941e-11,4.56931253425675e-09,0.634146341463415,0.315949276656546,"PFG_1",1
"2","DCDC2",7.55009823616714,1.89510706491435,475.180409275068,1.00154270172674e-09,2.95455097009387e-08,0.270413573700954,0.0805500982318271,"PFG_1",2
"3","MARCHF1",6.03945503403534,3.38775651520398,396.964851017499,2.40687034426513e-09,4.73351167705475e-08,0.153764581124072,0.0201821753884622,"PFG_1",3
"4","UNC5D",8.10999592338855,1.60970452446994,348.368856116376,4.53276800025868e-09,6.68583280038155e-08,0.314952279957582,0.123414895517057,"PFG_1",4
"5","CACHD1",7.38070698609403,1.41210034076342,288.469238447065,1.1284730180133e-08,1.14468817023824e-07,0.240721102863203,0.0862654045365244,"PFG_1",5
"6","ERBB4",9.78130113953525,1.24615042805386,286.608839421581,1.16408966464906e-08,1.14468817023824e-07,0.567338282078473,0.307554920521522,"PFG_1",6
"7","EDIL3",8.02045973754964,1.65657504221578,268.065528207842,1.60649638335458e-08,1.35404695168457e-07,0.295864262990456,0.103054116806573,"PFG_1",7
"8","EPHA4",8.3210664463013,1.26323192578253,242.991040054838,2.57441334967928e-08,1.77009663914279e-07,0.346765641569459,0.145383104125737,"PFG_1",8
"9","WWC2",8.59904588606016,1.14393667249553,240.584719943025,2.70014741564155e-08,1.77009663914279e-07,0.352067868504772,0.185926058224683,"PFG_1",9
"10","DIAPH3",7.84356511091627,1.38140694655,214.839335253121,4.63923294628698e-08,2.6399370014589e-07,0.304347826086957,0.0880514377567423,"PFG_1",10
"11","CPNE4",6.76655583812214,1.85477774674575,212.194412256421,4.92191644339794e-08,2.6399370014589e-07,0.173913043478261,0.0505447401321665,"PFG_1",11
"12","SORCS1",6.71732755538599,1.94548173876963,192.096058999406,7.90296401419519e-08,3.6771446286373e-07,0.19406150583245,0.0478656903018396,"PFG_1",12
"13","HS3ST4",7.34004986833026,1.46448184355286,191.090148826209,8.1021830800483e-08,3.6771446286373e-07,0.262990455991516,0.101268083586355,"PFG_1",13
"14","ST6GALNAC3",7.58731745335674,1.48403554081462,174.741488331148,1.23769887505675e-07,4.75315500519171e-07,0.273594909862142,0.0943025540275049,"PFG_1",14
"15","CEP128",7.46671418140405,1.09856885748317,173.639189643825,1.2752664224512e-07,4.75315500519171e-07,0.257688229056204,0.0903732809430255,"PFG_1",15
"16","POLQ",5.97526871291599,1.6488253477705,172.716189779398,1.30826782859338e-07,4.75315500519171e-07,0.125132555673383,0.031434184675835,"PFG_1",16
"17","BRIP1",7.43488910524496,1.49530455223953,171.037475487717,1.36955313708914e-07,4.75315500519171e-07,0.264050901378579,0.0773352384354349,"PFG_1",17
"18","TSPAN5",6.02082898720983,1.85322345044893,163.688078603407,1.68533628097534e-07,5.52415780986363e-07,0.128313891834571,0.0321485979639221,"PFG_1",18
"19","SKA2",6.43110762367954,1.38104373333084,161.545520508449,1.79300651111854e-07,5.56775706084178e-07,0.149522799575822,0.0485801035899268,"PFG_1",19
"20","ASPM",6.72860246792072,1.46595644626742,159.666782954773,1.89422740977922e-07,5.58797085884871e-07,0.138918345705196,0.0459010537595999,"PFG_1",20
"21","AC092691.1",7.9400634930626,1.0345064397473,136.731599327184,3.91670881250529e-07,1.10040866637053e-06,0.264050901378579,0.114484729415967,"PFG_1",21
"22","CENPP",7.53969311142573,1.08998302123894,128.828599262171,5.16762873198423e-07,1.38586406903213e-06,0.256627783669141,0.0996606536881586,"PFG_1",22
"23","RFC3",7.4411829852948,1.213207390659,126.156971723489,5.69570837953454e-07,1.46107301909799e-06,0.248144220572641,0.0837649580282193,"PFG_1",23
"24","KLHL14",6.57844751484795,1.3911768889854,124.580726287693,6.0382386119077e-07,1.48440032542731e-06,0.144220572640509,0.0487587069119486,"PFG_1",24
"25","AC091057.1",6.47072452707654,1.52949809465205,118.704293416275,7.55153063323009e-07,1.7821612294423e-06,0.168610816542948,0.0476870869798178,"PFG_1",25
"26","MELK",5.82504134510423,1.5841123054151,106.55073623765,1.24183264599104e-06,2.72281611655721e-06,0.109225874867444,0.0289337381675299,"PFG_1",26
"27","CDKL5",6.99621295489873,1.13875384264296,106.462767807643,1.24603449401771e-06,2.72281611655721e-06,0.181336161187699,0.0723343454188248,"PFG_1",27
"28","AF241726.1",7.09870413128006,1.2554974021349,101.278049891444,1.56567714229858e-06,3.29910540698629e-06,0.248144220572641,0.102161100196464,"PFG_1",28
"29","ADAMTS18",6.74792725683485,1.343625048067,99.8203790108638,1.67277384913815e-06,3.361593075558e-06,0.154825026511135,0.0562600464368637,"PFG_1",29
"30","PRDM1",6.96287628315156,1.3767457692964,99.348489264504,1.70928461469051e-06,3.361593075558e-06,0.191940615058324,0.0621539560635828,"PFG_1",30
"31","B4GALT6",7.27477954070724,1.00057173228862,93.734754334712,2.22665690619011e-06,4.23783088597473e-06,0.207847295864263,0.0916235041971781,"PFG_1",31
"32","CCDC150",7.18867120783948,1.20349463376879,87.3471553562435,3.06362301567501e-06,5.6485549351508e-06,0.219512195121951,0.0818003214859796,"PFG_1",32
"33","RALYL",6.23771714866533,1.48240273650359,82.9073998716046,3.87397382977634e-06,6.92619563505467e-06,0.110286320254507,0.0383997142346848,"PFG_1",33
"34","EPB41L4A",6.68880002673793,1.07531302081155,82.2774196256839,4.00833881170167e-06,6.9556467614823e-06,0.149522799575822,0.0607251294874085,"PFG_1",34
"35","PTCHD4",5.59520323624237,1.95898812613737,80.2033181519952,4.49514717528724e-06,7.57753380976992e-06,0.103923647932131,0.0262546883372031,"PFG_1",35
"36","BLM",5.86547021449807,1.3339090393788,79.1626120245396,4.76456787235895e-06,7.80859734636606e-06,0.113467656415695,0.0326844079299875,"PFG_1",36
"37","LINC01162",6.26084637368891,1.24856686815645,76.4152705630562,5.57584031631702e-06,8.89120482872174e-06,0.111346765641569,0.040721557420968,"PFG_1",37
"38","CENPE",6.57158763364352,1.40723904204141,72.3201951869239,7.11745486002314e-06,1.10507851774044e-05,0.143160127253446,0.0444722271834256,"PFG_1",38
