"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2","comp"
"1","CNTNAP2",10.7004442685532,-1.37760181046373,336.694817885326,3.41574025690007e-17,7.86986555189775e-13,0.292777777777778,0.633445945945946,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"2","BMPR1B",9.24174565464258,-1.27541847981278,126.280047383244,6.47426405400766e-12,6.86451550572258e-08,0.151666666666667,0.376689189189189,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"3","AC069277.1",10.9886047792014,-0.783435449241699,122.80558577145,8.9381712314096e-12,6.86451550572258e-08,0.488333333333333,0.658783783783784,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"4","SKAP2",9.46900842835776,-0.908717582744499,90.3951329125957,2.76113583942504e-10,1.32729992477719e-06,0.221111111111111,0.452702702702703,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"5","MAGI1",11.4299483081523,0.589233242377841,90.042641437994,2.88042518397828e-10,1.32729992477719e-06,0.720555555555556,0.685810810810811,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"6","MALAT1",13.964740911953,-0.428548309357139,81.4562795775943,8.4192122201676e-10,3.23297749254436e-06,0.937777777777778,0.954391891891892,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"7","GPC3",9.99260669227176,0.804879568935353,77.1646771337139,1.48654011910682e-09,4.89284062060301e-06,0.368333333333333,0.310810810810811,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"8","VPS13D",9.72732392823401,-0.813865455247875,73.3151979337747,2.5263378311417e-09,7.2758529536881e-06,0.258333333333333,0.469594594594595,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"9","TCF7L2",9.76950871985421,0.816402870596546,62.5276149543671,1.25499555798851e-08,3.16185476398326e-05,0.393888888888889,0.33277027027027,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"10","FAT3",11.212576865431,0.53948857436072,61.9616015558984,1.37233279686773e-08,3.16185476398326e-05,0.620555555555556,0.586148648648649,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"11","SLC4A4",8.2973004181087,1.22783671351711,57.38960852243,2.88794340524387e-08,6.04892873243807e-05,0.146111111111111,0.108108108108108,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"12","SIPA1L3",9.19056551432645,0.845930782739445,53.1053029218929,6.02119643317003e-08,0.000115606971516865,0.287777777777778,0.260135135135135,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"13","KIF26B",10.3144075985729,0.594714355484618,52.5945322110615,6.58976921834129e-08,0.000116790986761987,0.453888888888889,0.447635135135135,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"14","CADM1",9.88732439335445,-0.615047504261544,49.5683234033532,1.13879739663955e-07,0.000187413514418395,0.293333333333333,0.474662162162162,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"15","CUX1",10.0511826774561,0.594181694830601,48.7798324771725,1.31798120476135e-07,0.000202441913051343,0.445555555555556,0.430743243243243,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"16","AC084816.1",9.25060528183242,-0.742027305162294,48.0810727058811,1.50215531372818e-07,0.000216310365176858,0.2,0.386824324324324,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"17","CUX2",8.50444105419046,0.936016797073466,46.1887345815282,2.15428047584167e-07,0.000291968365667013,0.192777777777778,0.168918918918919,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"18","TSHZ2",10.9203348705101,0.464029676185251,43.6833270979112,3.52355404228679e-07,0.000451014917412709,0.582777777777778,0.572635135135135,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"19","LRP1B",8.52838717531341,-0.957361570829119,41.7281921870591,5.2382244350655e-07,0.000635203636757416,0.123888888888889,0.285472972972973,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"20","MACROD2",9.93616180713296,-0.571805949342082,41.3896345897199,5.61691400873557e-07,0.000647068493806338,0.312222222222222,0.506756756756757,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"21","WWOX",11.1186067328478,0.425944339121616,41.0117048499184,6.07469708705036e-07,0.000666481051836383,0.62,0.591216216216216,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"22","CYP26A1",5.36067932715294,-2.45257300945102,39.3091680871419,8.80234699550793e-07,0.000921845794438648,0.00777777777777778,0.0625,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"23","CCDC144NL-AS1",9.46879481434616,0.659366784443359,38.1560962996783,1.11444381970111e-06,0.00110343762002723,0.334444444444444,0.327702702702703,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"24","EDNRA",7.56541770550958,1.25794945055456,38.0159164842188,1.14941418752836e-06,0.00110343762002723,0.111111111111111,0.0709459459459459,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"25","SLC8A1",7.1196726390741,-1.28253581550105,36.9421628137308,1.45462083138704e-06,0.0013405785582063,0.0433333333333333,0.146959459459459,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
"26","AC105052.4",7.69455163098004,1.10477371090487,35.6812323394418,1.92873762025082e-06,0.00167561886017868,0.206111111111111,0.185810810810811,"PFG_2_KO","PFG_2_WT","PFG_2_KO _vs_ PFG_2_WT"
